Branch_Location,Loan_Product,Employment_Status,Credit_Risk_Rating,Loan_Status,Loan_Amount_PHP,Interest_Rate_Annual,Monthly_Income_PHP,Loan_Term_Months,Days_Past_Due,Application_Date,Disbursement_Date
Quezon City Hub,Salary Loan,OFW Dependent,High Risk,Active,30025.62,8.69,106498.47,12,65,2025-04-20,2025-04-22
Davao Central Branch,Emergency Cash Loan,Regular,Low Risk,Restructured,92778.18,23.33,85633.81,24,72,2025-03-10,2025-03-13
Makati CBD Branch,Small Business Micro-Loan,OFW Dependent,Medium Risk,Restructured,146509.27,19.93,98651.55,6,86,2025-02-27,2025-03-03
Quezon City Hub,Emergency Cash Loan,Regular,Medium Risk,Past Due,96735.14,13.98,41299.13,24,78,2025-04-16,2025-04-18
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,Low Risk,Fully Paid,53464.24,13.1,80611.78,12,76,2025-02-13,2025-02-18
Cebu IT Park Branch,Salary Loan,Regular,Medium Risk,Restructured,69111.58,13.92,75033.33,6,22,2025-03-15,2025-03-19
Davao Central Branch,Emergency Cash Loan,OFW Dependent,High Risk,Restructured,235781.6,20.51,102447.19,12,80,2025-02-25,2025-02-27
Cebu IT Park Branch,OFW Remittance Advance,Regular,High Risk,Active,111103.52,18.75,110139.14,6,47,2025-06-20,2025-06-26
Quezon City Hub,Small Business Micro-Loan,OFW Dependent,Low Risk,Past Due,188492.23,11.37,16276.46,12,1,2025-05-07,2025-05-10
Makati CBD Branch,Salary Loan,Regular,Low Risk,Restructured,256674.46,11.2,85772.09,24,83,2025-06-11,2025-06-13
Quezon City Hub,Salary Loan,Contractual,High Risk,Active,348293.47,10.03,20442.76,24,19,2025-01-30,2025-02-02
Cebu IT Park Branch,Small Business Micro-Loan,Self-Employed,Medium Risk,Restructured,29262.95,18.73,72630.16,12,58,2025-03-12,2025-03-18
Davao Central Branch,Small Business Micro-Loan,OFW Dependent,Low Risk,Restructured,401711.1,20.35,45201.44,6,45,2025-04-28,2025-04-30
Davao Central Branch,Salary Loan,Regular,Low Risk,Restructured,317671.19,12.61,47211.54,18,2,2025-02-24,2025-03-01
Quezon City Hub,Emergency Cash Loan,Contractual,Medium Risk,Active,50061.93,8.82,52060.64,24,54,2025-03-08,2025-03-12
Quezon City Hub,Salary Loan,OFW Dependent,Low Risk,Fully Paid,438053.53,9.77,80235.71,24,11,2025-05-21,2025-05-23
Makati CBD Branch,Small Business Micro-Loan,OFW Dependent,Medium Risk,Restructured,461227.48,23.5,50075.25,18,39,2025-01-03,2025-01-09
Cebu IT Park Branch,Emergency Cash Loan,OFW Dependent,Medium Risk,Restructured,39928.2,13.08,91933.4,12,65,2025-01-26,2025-01-28
Quezon City Hub,OFW Remittance Advance,Self-Employed,Medium Risk,Fully Paid,145670.05,20.42,57475.38,6,77,2025-02-26,2025-03-01
Makati CBD Branch,Salary Loan,Regular,Medium Risk,Restructured,405038.63,18.18,22177.09,12,15,2025-05-06,2025-05-08
Quezon City Hub,Small Business Micro-Loan,Regular,Medium Risk,Past Due,376647.25,14.42,97294.78,36,82,2025-06-01,2025-06-06
Davao Central Branch,OFW Remittance Advance,OFW Dependent,High Risk,Restructured,100415.3,11.69,45004.62,24,33,2025-02-22,2025-02-24
Makati CBD Branch,Salary Loan,OFW Dependent,Medium Risk,Past Due,112581.17,10.38,60440.52,36,43,2025-02-12,2025-02-16
Makati CBD Branch,Salary Loan,OFW Dependent,High Risk,Fully Paid,191531.33,18.03,86971.61,24,5,2025-02-18,2025-02-20
Quezon City Hub,Emergency Cash Loan,Contractual,Medium Risk,Active,247416.26,20.51,49907.9,24,76,2025-02-11,2025-02-14
Cebu IT Park Branch,Small Business Micro-Loan,OFW Dependent,Low Risk,Fully Paid,312944.84,18.48,20941.49,36,63,2025-01-11,2025-01-13
Davao Central Branch,OFW Remittance Advance,Self-Employed,High Risk,Restructured,190767.68,16.72,54261.71,36,21,2025-04-13,2025-04-18
Cebu IT Park Branch,Salary Loan,Regular,Low Risk,Past Due,236642.01,9.15,114167.1,12,17,2025-04-08,2025-04-14
Makati CBD Branch,Emergency Cash Loan,Self-Employed,Medium Risk,Active,376260.76,23.51,82382.11,36,11,2025-05-26,2025-05-28
Cebu IT Park Branch,OFW Remittance Advance,OFW Dependent,Medium Risk,Restructured,27974.77,20.88,85505.31,12,51,2025-03-26,2025-03-28
Makati CBD Branch,OFW Remittance Advance,Contractual,Low Risk,Active,133694.1,13.04,81389.63,12,50,2025-04-10,2025-04-14
Cebu IT Park Branch,Salary Loan,OFW Dependent,Medium Risk,Active,359541.3,23.69,35894.17,12,70,2025-04-14,2025-04-19
Quezon City Hub,OFW Remittance Advance,OFW Dependent,Low Risk,Restructured,448651.35,17.83,58925.06,24,47,2025-06-29,2025-07-05
Cebu IT Park Branch,Salary Loan,OFW Dependent,Medium Risk,Fully Paid,260721.95,17.53,93848.68,24,18,2025-02-15,2025-02-18
Makati CBD Branch,Emergency Cash Loan,OFW Dependent,Medium Risk,Restructured,,20.1,25644.15,36,5,2025-02-13,2025-02-15
Davao Central Branch,Emergency Cash Loan,OFW Dependent,High Risk,Restructured,62514.29,21.08,44174.54,24,83,2025-01-22,2025-01-28
Davao Central Branch,OFW Remittance Advance,Regular,Low Risk,Fully Paid,229232.06,18.68,44013.51,36,26,2025-04-24,2025-04-27
Davao Central Branch,Salary Loan,Self-Employed,Medium Risk,Past Due,270982.46,10.49,60361.99,24,52,2025-05-05,2025-05-10
Makati CBD Branch,Small Business Micro-Loan,Contractual,Low Risk,Restructured,128810.55,13.74,117938.72,6,47,2025-05-04,2025-05-09
Cebu IT Park Branch,Emergency Cash Loan,OFW Dependent,High Risk,Active,141929.18,22.89,22087.77,6,6,2025-01-30,2025-02-05
Davao Central Branch,Salary Loan,Contractual,Low Risk,Restructured,194869.24,11.98,69463.6,36,58,2025-01-08,2025-01-11
Davao Central Branch,Salary Loan,Regular,High Risk,Restructured,19834.89,14.27,33833.29,24,68,2025-04-08,2025-04-13
Davao Central Branch,Salary Loan,Self-Employed,Low Risk,Active,167818.79,15.2,116921.04,24,10,2025-02-26,2025-03-04
Quezon City Hub,OFW Remittance Advance,OFW Dependent,Low Risk,Fully Paid,113609.52,15.31,26896.87,12,14,2025-04-21,2025-04-26
Makati CBD Branch,Small Business Micro-Loan,Regular,High Risk,Past Due,170473.7,18.0,57378.11,18,63,2025-03-14,2025-03-19
Makati CBD Branch,OFW Remittance Advance,Regular,Medium Risk,Past Due,68683.44,23.12,92477.92,36,2,2025-04-25,2025-04-30
Makati CBD Branch,Emergency Cash Loan,Self-Employed,Medium Risk,Active,446358.37,12.23,88978.21,18,68,2025-01-20,2025-01-24
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,Medium Risk,Fully Paid,300860.3,10.38,59386.51,18,22,2025-01-25,2025-01-28
Makati CBD Branch,Salary Loan,Self-Employed,Low Risk,Restructured,342760.14,11.56,51385.04,36,52,2025-01-19,2025-01-25
Quezon City Hub,OFW Remittance Advance,Self-Employed,Low Risk,Restructured,,22.25,56749.3,24,36,2025-01-05,2025-01-11
Cebu IT Park Branch,Salary Loan,Contractual,Medium Risk,Restructured,254236.68,18.51,42749.01,36,8,2025-03-16,2025-03-19
Quezon City Hub,Small Business Micro-Loan,Contractual,Low Risk,Restructured,52590.94,12.93,36559.96,18,14,2025-05-08,2025-05-11
Davao Central Branch,OFW Remittance Advance,Self-Employed,Low Risk,Restructured,273182.21,21.15,65719.17,24,2,2025-03-13,2025-03-16
Quezon City Hub,OFW Remittance Advance,Contractual,Medium Risk,Active,297552.15,21.85,43196.04,6,69,2025-06-04,2025-06-07
Makati CBD Branch,OFW Remittance Advance,Regular,High Risk,Restructured,375265.34,21.62,45183.47,36,16,2025-02-09,2025-02-11
Quezon City Hub,Salary Loan,Self-Employed,Low Risk,Restructured,221513.18,22.74,83959.39,36,25,2025-01-26,2025-02-01
Makati CBD Branch,Salary Loan,OFW Dependent,Low Risk,Fully Paid,72514.35,12.41,116696.42,24,20,2025-01-27,2025-01-29
Quezon City Hub,OFW Remittance Advance,OFW Dependent,Low Risk,Restructured,149050.19,20.2,78381.91,6,71,2025-03-24,2025-03-29
Makati CBD Branch,OFW Remittance Advance,Regular,Low Risk,Past Due,187910.33,15.64,23082.84,6,20,2025-05-08,2025-05-13
Davao Central Branch,Small Business Micro-Loan,OFW Dependent,High Risk,Active,326499.45,21.55,22936.28,24,10,2025-06-27,2025-07-03
Makati CBD Branch,Small Business Micro-Loan,OFW Dependent,Medium Risk,Active,289681.37,19.79,114899.44,12,37,2025-06-19,2025-06-24
Quezon City Hub,Emergency Cash Loan,Self-Employed,Low Risk,Active,184487.4,20.53,46215.53,36,71,2025-06-06,2025-06-09
Davao Central Branch,Small Business Micro-Loan,Regular,Medium Risk,Past Due,493392.47,18.67,24667.03,36,87,2025-06-16,2025-06-18
Quezon City Hub,Small Business Micro-Loan,Self-Employed,Low Risk,Restructured,306829.66,11.25,77899.68,18,34,2025-06-18,2025-06-21
Davao Central Branch,Small Business Micro-Loan,Regular,High Risk,Active,126241.13,16.95,80483.12,24,13,2025-02-02,2025-02-07
Cebu IT Park Branch,Salary Loan,Self-Employed,Medium Risk,Past Due,59873.41,23.76,83093.01,18,13,2025-04-07,2025-04-09
Cebu IT Park Branch,Small Business Micro-Loan,Self-Employed,High Risk,Fully Paid,84900.98,23.03,43077.21,18,9,2025-04-21,2025-04-24
Cebu IT Park Branch,Small Business Micro-Loan,Contractual,Low Risk,Restructured,130519.29,9.17,16586.62,6,11,2025-01-16,2025-01-22
Quezon City Hub,OFW Remittance Advance,OFW Dependent,High Risk,Past Due,88733.87,11.05,116326.61,36,37,2025-01-23,2025-01-26
Quezon City Hub,Salary Loan,Regular,High Risk,Restructured,101417.84,10.54,41343.77,18,33,2025-05-15,2025-05-20
Davao Central Branch,Emergency Cash Loan,OFW Dependent,Low Risk,Fully Paid,149696.63,19.75,85982.76,6,40,2025-01-26,2025-01-28
Davao Central Branch,Emergency Cash Loan,Contractual,Low Risk,Past Due,94953.06,21.18,89196.14,24,9,2025-04-06,2025-04-12
Davao Central Branch,Small Business Micro-Loan,Regular,Medium Risk,Restructured,449415.06,11.81,79050.78,18,16,2025-01-12,2025-01-14
Davao Central Branch,Emergency Cash Loan,Contractual,Low Risk,Past Due,49314.54,16.34,,36,16,2025-03-13,2025-03-19
Makati CBD Branch,Emergency Cash Loan,OFW Dependent,Medium Risk,Active,267010.58,21.53,43465.11,18,66,2025-05-13,2025-05-15
Cebu IT Park Branch,Emergency Cash Loan,Self-Employed,High Risk,Restructured,211094.45,19.86,77755.17,24,61,2025-04-16,2025-04-21
Makati CBD Branch,Small Business Micro-Loan,Contractual,High Risk,Past Due,491365.52,16.9,105940.04,18,0,2025-04-27,2025-05-03
Makati CBD Branch,Emergency Cash Loan,Contractual,Medium Risk,Active,64899.06,17.65,114407.04,36,11,2025-06-26,2025-06-30
Makati CBD Branch,Small Business Micro-Loan,Self-Employed,Low Risk,Fully Paid,204949.24,16.38,26120.11,6,3,2025-01-26,2025-01-28
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,Low Risk,Restructured,485040.51,13.11,31257.0,36,41,2025-05-13,2025-05-15
Cebu IT Park Branch,OFW Remittance Advance,Contractual,High Risk,Restructured,434098.49,17.26,114197.31,6,12,2025-01-22,2025-01-25
Makati CBD Branch,Emergency Cash Loan,OFW Dependent,Medium Risk,Fully Paid,410365.31,19.18,92336.2,12,84,2025-01-13,2025-01-19
Davao Central Branch,OFW Remittance Advance,Self-Employed,High Risk,Active,136372.39,22.04,107714.35,36,85,2025-06-05,2025-06-09
Quezon City Hub,Small Business Micro-Loan,Regular,High Risk,Fully Paid,93734.92,18.36,36276.43,36,3,2025-06-10,2025-06-15
Davao Central Branch,OFW Remittance Advance,Contractual,Low Risk,Restructured,337635.18,20.3,76696.52,24,81,2025-04-17,2025-04-20
Quezon City Hub,Emergency Cash Loan,OFW Dependent,Medium Risk,Past Due,465394.23,10.98,88619.66,18,68,2025-01-23,2025-01-27
Davao Central Branch,Small Business Micro-Loan,Self-Employed,High Risk,Active,282813.82,15.65,86411.75,6,18,2025-04-07,2025-04-13
Davao Central Branch,Salary Loan,Self-Employed,Low Risk,Active,290090.22,8.64,57855.93,6,1,2025-01-18,2025-01-22
Quezon City Hub,Small Business Micro-Loan,Contractual,High Risk,Active,147189.76,12.32,16616.46,24,11,2025-04-27,2025-04-29
Cebu IT Park Branch,OFW Remittance Advance,Regular,High Risk,Fully Paid,387051.54,19.76,76207.24,24,80,2025-01-30,2025-02-01
Makati CBD Branch,Salary Loan,Contractual,Low Risk,Fully Paid,101651.44,23.87,41575.66,18,73,2025-01-26,2025-01-29
Davao Central Branch,Small Business Micro-Loan,OFW Dependent,Low Risk,Past Due,168602.83,10.04,62276.7,18,5,2025-05-24,2025-05-30
Cebu IT Park Branch,Salary Loan,Self-Employed,Medium Risk,Past Due,218463.85,14.72,115546.01,36,7,2025-02-08,2025-02-14
Makati CBD Branch,Salary Loan,Regular,High Risk,Active,258729.09,20.9,56898.71,12,50,2025-06-10,2025-06-14
Cebu IT Park Branch,Salary Loan,OFW Dependent,Medium Risk,Past Due,128780.77,11.66,103179.17,18,10,2025-06-03,2025-06-06
Cebu IT Park Branch,Small Business Micro-Loan,Contractual,Low Risk,Fully Paid,66270.04,17.1,34796.76,24,62,2025-06-25,2025-07-01
Makati CBD Branch,OFW Remittance Advance,Self-Employed,Low Risk,Past Due,309203.82,19.86,85608.35,18,56,2025-06-15,2025-06-17
Davao Central Branch,Small Business Micro-Loan,Contractual,High Risk,Fully Paid,151428.97,18.05,117585.73,6,11,2025-05-10,2025-05-14
Cebu IT Park Branch,OFW Remittance Advance,Regular,Medium Risk,Past Due,294806.73,11.41,25698.78,12,72,2025-04-23,2025-04-28
Davao Central Branch,Small Business Micro-Loan,Regular,Medium Risk,Restructured,85637.73,14.01,15873.59,36,1,2025-05-14,2025-05-16
Davao Central Branch,Small Business Micro-Loan,Regular,High Risk,Fully Paid,245758.65,20.65,60526.19,6,7,2025-02-15,2025-02-18
Davao Central Branch,Small Business Micro-Loan,Regular,High Risk,Restructured,270968.82,17.09,24725.68,6,10,2025-02-19,2025-02-25
Makati CBD Branch,OFW Remittance Advance,Regular,Medium Risk,Fully Paid,35393.53,8.58,93580.36,12,52,2025-06-15,2025-06-17
Quezon City Hub,Small Business Micro-Loan,Contractual,Low Risk,Past Due,174936.1,20.3,111027.61,36,9,2025-04-16,2025-04-21
Davao Central Branch,Salary Loan,Regular,Low Risk,Restructured,75863.19,9.05,60572.2,24,84,2025-05-26,2025-05-31
Quezon City Hub,Small Business Micro-Loan,Regular,High Risk,Past Due,41053.74,20.06,42164.72,36,83,2025-06-04,2025-06-07
Quezon City Hub,Salary Loan,Self-Employed,Medium Risk,Fully Paid,495080.51,11.64,60612.35,18,7,2025-06-18,2025-06-20
Cebu IT Park Branch,Emergency Cash Loan,Regular,Medium Risk,Restructured,167953.38,23.35,90962.02,6,35,2025-03-13,2025-03-17
Davao Central Branch,Emergency Cash Loan,Self-Employed,Medium Risk,Active,406838.48,14.2,15950.69,18,75,2025-03-15,2025-03-17
Davao Central Branch,OFW Remittance Advance,Self-Employed,Low Risk,Past Due,134773.92,13.57,76892.67,24,13,2025-01-17,2025-01-22
Davao Central Branch,OFW Remittance Advance,Self-Employed,Low Risk,Fully Paid,343936.33,10.81,79395.63,18,53,2025-06-06,2025-06-09
Quezon City Hub,Emergency Cash Loan,Contractual,Medium Risk,Restructured,382511.65,13.24,81957.27,36,84,2025-03-11,2025-03-14
Makati CBD Branch,Small Business Micro-Loan,Contractual,Medium Risk,Past Due,301862.98,22.09,40412.32,18,85,2025-05-30,2025-06-03
Quezon City Hub,Small Business Micro-Loan,OFW Dependent,High Risk,Restructured,241072.33,23.94,89975.54,24,20,2025-01-06,2025-01-09
Davao Central Branch,Small Business Micro-Loan,OFW Dependent,High Risk,Past Due,211802.05,14.21,24596.11,24,49,2025-01-26,2025-01-29
Davao Central Branch,Emergency Cash Loan,Self-Employed,Medium Risk,Past Due,180945.45,15.45,35923.39,24,38,2025-06-16,2025-06-19
Davao Central Branch,Salary Loan,Contractual,Medium Risk,Past Due,465469.28,19.69,107134.35,36,19,2025-05-20,2025-05-23
Quezon City Hub,OFW Remittance Advance,Regular,Low Risk,Restructured,417003.51,22.24,92565.93,24,87,2025-04-09,2025-04-12
Davao Central Branch,Salary Loan,OFW Dependent,Medium Risk,Restructured,482863.19,17.69,16443.28,6,86,2025-05-22,2025-05-27
Cebu IT Park Branch,Emergency Cash Loan,Contractual,High Risk,Past Due,70905.64,14.57,41079.51,24,6,2025-01-22,2025-01-24
Davao Central Branch,Salary Loan,Regular,Low Risk,Active,368125.06,14.9,37512.68,18,8,2025-02-20,2025-02-26
Makati CBD Branch,Small Business Micro-Loan,Regular,High Risk,Active,469786.82,19.28,43434.66,18,0,2025-05-31,2025-06-03
Cebu IT Park Branch,Small Business Micro-Loan,Contractual,High Risk,Active,98804.2,8.55,40993.78,18,25,2025-06-25,2025-07-01
Davao Central Branch,Salary Loan,OFW Dependent,Low Risk,Fully Paid,42583.17,18.1,21565.26,36,37,2025-04-14,2025-04-20
Cebu IT Park Branch,Emergency Cash Loan,Contractual,High Risk,Active,373149.12,14.01,63188.75,18,37,2025-06-27,2025-07-02
Davao Central Branch,Salary Loan,OFW Dependent,Medium Risk,Restructured,291491.83,20.81,91937.01,36,60,2025-03-30,2025-04-02
Makati CBD Branch,Small Business Micro-Loan,Self-Employed,High Risk,Active,422496.1,9.94,78706.83,36,43,2025-05-21,2025-05-27
Davao Central Branch,Small Business Micro-Loan,Contractual,Low Risk,Restructured,78488.46,17.62,85651.53,24,85,2025-05-18,2025-05-21
Cebu IT Park Branch,Emergency Cash Loan,Contractual,Low Risk,Fully Paid,399680.98,15.96,23520.66,6,43,2025-01-09,2025-01-13
Makati CBD Branch,Salary Loan,OFW Dependent,Low Risk,Restructured,108797.39,18.46,114906.52,24,73,2025-03-20,2025-03-24
Quezon City Hub,Small Business Micro-Loan,OFW Dependent,High Risk,Restructured,90191.41,9.51,103041.64,24,61,2025-02-21,2025-02-25
Makati CBD Branch,Small Business Micro-Loan,Contractual,Medium Risk,Restructured,90490.24,17.49,99534.48,36,5,2025-05-10,2025-05-16
Makati CBD Branch,Salary Loan,Regular,Low Risk,Active,409141.61,17.2,101413.3,36,16,2025-06-02,2025-06-06
Makati CBD Branch,Salary Loan,Regular,Medium Risk,Past Due,335946.64,17.19,112934.6,18,50,2025-01-13,2025-01-18
Cebu IT Park Branch,OFW Remittance Advance,Regular,Low Risk,Restructured,266302.06,17.85,72146.67,18,37,2025-02-20,2025-02-25
Makati CBD Branch,Emergency Cash Loan,Self-Employed,Medium Risk,Active,185826.94,18.99,36029.61,24,23,2025-02-03,2025-02-09
Davao Central Branch,Emergency Cash Loan,Self-Employed,Medium Risk,Active,439828.26,20.98,79762.28,12,50,2025-02-04,2025-02-07
Makati CBD Branch,Salary Loan,OFW Dependent,Medium Risk,Active,202298.1,12.68,93002.56,12,9,2025-05-11,2025-05-13
Makati CBD Branch,Emergency Cash Loan,Self-Employed,Low Risk,Past Due,410133.73,21.29,92481.33,18,71,2025-04-30,2025-05-03
Davao Central Branch,Small Business Micro-Loan,Regular,High Risk,Past Due,225176.11,16.22,69752.15,12,20,2025-03-11,2025-03-14
Davao Central Branch,Salary Loan,Contractual,High Risk,Past Due,194702.77,9.69,22188.17,18,69,2025-06-25,2025-06-28
Quezon City Hub,Salary Loan,Self-Employed,High Risk,Past Due,236713.09,9.41,53966.86,36,84,2025-05-27,2025-05-30
Makati CBD Branch,Salary Loan,Self-Employed,Medium Risk,Fully Paid,157675.16,13.68,111680.49,24,56,2025-03-08,2025-03-10
Cebu IT Park Branch,OFW Remittance Advance,Regular,Low Risk,Past Due,376328.6,20.67,76367.14,6,38,2025-04-13,2025-04-17
Makati CBD Branch,Emergency Cash Loan,Self-Employed,Medium Risk,Past Due,256332.99,19.47,,24,87,2025-03-14,2025-03-17
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,Low Risk,Past Due,123784.22,20.72,43229.62,18,32,2025-04-26,2025-05-01
Davao Central Branch,Small Business Micro-Loan,Contractual,Medium Risk,Restructured,450791.54,16.52,53687.14,18,58,2025-05-13,2025-05-19
Quezon City Hub,Emergency Cash Loan,Regular,Low Risk,Restructured,198106.7,15.32,109011.34,24,17,2025-03-08,2025-03-14
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,Low Risk,Past Due,276340.9,10.79,84978.62,18,55,2025-05-19,2025-05-24
Cebu IT Park Branch,Salary Loan,Regular,Low Risk,Fully Paid,454171.33,13.59,97675.64,12,56,2025-05-01,2025-05-04
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,Medium Risk,Restructured,315876.62,15.23,62706.27,12,75,2025-04-04,2025-04-06
Cebu IT Park Branch,Salary Loan,Contractual,High Risk,Active,67280.04,9.87,81175.96,18,47,2025-05-09,2025-05-13
Davao Central Branch,OFW Remittance Advance,Contractual,Medium Risk,Restructured,470517.74,11.92,41080.28,18,41,2025-04-01,2025-04-07
Quezon City Hub,OFW Remittance Advance,OFW Dependent,Medium Risk,Active,317576.95,17.77,89073.39,12,26,2025-04-02,2025-04-06
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,Low Risk,Restructured,174103.75,19.9,59898.14,18,73,2025-03-04,2025-03-06
Quezon City Hub,Salary Loan,OFW Dependent,Low Risk,Past Due,78243.32,23.97,61467.28,18,51,2025-01-29,2025-02-04
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,High Risk,Restructured,399072.34,22.96,83178.84,24,41,2025-01-12,2025-01-16
Cebu IT Park Branch,Emergency Cash Loan,OFW Dependent,High Risk,Past Due,313835.65,18.46,113309.47,6,31,2025-03-18,2025-03-20
Quezon City Hub,Emergency Cash Loan,OFW Dependent,Low Risk,Past Due,271395.94,15.03,21720.67,12,25,2025-02-10,2025-02-14
Makati CBD Branch,Emergency Cash Loan,Contractual,High Risk,Restructured,448007.37,18.36,101598.04,24,24,2025-05-10,2025-05-13
Davao Central Branch,Salary Loan,OFW Dependent,High Risk,Active,396412.63,20.68,45700.23,6,74,2025-02-06,2025-02-08
Cebu IT Park Branch,Salary Loan,Self-Employed,Low Risk,Active,84320.69,10.33,61611.54,18,22,2025-06-22,2025-06-26
Quezon City Hub,Emergency Cash Loan,Contractual,Medium Risk,Restructured,162743.81,14.85,17300.9,18,56,2025-06-25,2025-06-28
Makati CBD Branch,Emergency Cash Loan,Regular,High Risk,Past Due,131759.68,21.52,46609.84,24,51,2025-01-24,2025-01-27
Quezon City Hub,Emergency Cash Loan,Contractual,Low Risk,Active,374533.68,14.45,67776.28,18,86,2025-04-09,2025-04-11
Makati CBD Branch,Small Business Micro-Loan,Regular,High Risk,Fully Paid,26430.89,17.36,20898.49,36,30,2025-05-30,2025-06-04
Cebu IT Park Branch,Emergency Cash Loan,Regular,High Risk,Past Due,289245.95,17.61,66565.05,24,63,2025-04-10,2025-04-16
Davao Central Branch,OFW Remittance Advance,Self-Employed,Low Risk,Restructured,383604.76,11.36,112346.62,6,70,2025-05-19,2025-05-21
Cebu IT Park Branch,Small Business Micro-Loan,OFW Dependent,High Risk,Past Due,439615.16,14.11,26066.29,24,32,2025-02-27,2025-03-02
Quezon City Hub,Small Business Micro-Loan,OFW Dependent,High Risk,Fully Paid,177620.06,13.68,95266.28,12,84,2025-06-23,2025-06-26
Quezon City Hub,Salary Loan,Contractual,High Risk,Fully Paid,412416.08,8.91,58015.46,24,1,2025-01-29,2025-01-31
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,Medium Risk,Active,64209.55,8.87,83793.24,18,17,2025-06-12,2025-06-17
Cebu IT Park Branch,Salary Loan,Self-Employed,Medium Risk,Fully Paid,424761.62,21.39,42324.84,18,46,2025-05-23,2025-05-29
Makati CBD Branch,Salary Loan,Contractual,High Risk,Past Due,72469.44,12.73,31746.69,36,32,2025-03-01,2025-03-05
Cebu IT Park Branch,OFW Remittance Advance,Contractual,Low Risk,Active,204670.77,16.53,31848.57,36,83,2025-04-05,2025-04-07
Quezon City Hub,Salary Loan,Contractual,High Risk,Fully Paid,400674.73,13.13,22401.65,36,34,2025-02-11,2025-02-17
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,High Risk,Active,83459.54,23.08,34492.9,6,50,2025-02-12,2025-02-18
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,Medium Risk,Active,122333.18,12.52,84743.04,36,17,2025-03-15,2025-03-18
Cebu IT Park Branch,Salary Loan,OFW Dependent,Medium Risk,Restructured,363903.76,15.16,107577.51,6,87,2025-06-26,2025-06-30
Davao Central Branch,Emergency Cash Loan,Contractual,Medium Risk,Active,,22.03,100483.2,36,71,2025-06-09,2025-06-11
Cebu IT Park Branch,Salary Loan,Contractual,High Risk,Active,324162.34,21.55,86939.1,6,29,2025-03-05,2025-03-08
Davao Central Branch,Small Business Micro-Loan,Regular,High Risk,Fully Paid,350034.74,11.38,26595.35,24,43,2025-01-02,2025-01-05
Cebu IT Park Branch,Salary Loan,Regular,Low Risk,Past Due,275934.98,20.94,45364.68,24,52,2025-06-01,2025-06-06
Quezon City Hub,OFW Remittance Advance,OFW Dependent,High Risk,Past Due,133381.54,15.6,47529.72,18,9,2025-03-07,2025-03-13
Makati CBD Branch,Small Business Micro-Loan,Contractual,High Risk,Fully Paid,179391.04,15.99,41245.48,6,86,2025-06-15,2025-06-17
Cebu IT Park Branch,OFW Remittance Advance,OFW Dependent,Medium Risk,Past Due,98982.88,10.57,69075.59,12,51,2025-01-31,2025-02-02
Quezon City Hub,Emergency Cash Loan,OFW Dependent,Medium Risk,Active,455140.78,9.75,71233.15,18,48,2025-04-25,2025-04-27
Cebu IT Park Branch,Emergency Cash Loan,Regular,Medium Risk,Restructured,295861.98,19.78,,24,10,2025-01-26,2025-01-29
Makati CBD Branch,Small Business Micro-Loan,Self-Employed,Medium Risk,Active,206417.19,16.2,52147.86,6,65,2025-01-29,2025-02-03
Cebu IT Park Branch,Emergency Cash Loan,OFW Dependent,Medium Risk,Active,236382.84,15.27,101998.34,36,57,2025-03-19,2025-03-23
Davao Central Branch,Emergency Cash Loan,Self-Employed,Low Risk,Restructured,474168.84,19.81,97875.75,12,89,2025-01-25,2025-01-28
Makati CBD Branch,Salary Loan,Self-Employed,Low Risk,Fully Paid,85142.19,20.37,47318.56,24,35,2025-02-17,2025-02-21
Davao Central Branch,Salary Loan,Contractual,Low Risk,Active,297252.62,10.96,110947.79,18,32,2025-03-06,2025-03-11
Quezon City Hub,Emergency Cash Loan,Contractual,Medium Risk,Active,257885.45,17.96,115045.58,6,46,2025-03-08,2025-03-14
Quezon City Hub,Emergency Cash Loan,OFW Dependent,Medium Risk,Fully Paid,309612.58,10.6,49307.97,12,12,2025-03-31,2025-04-02
Cebu IT Park Branch,Salary Loan,Regular,Medium Risk,Active,18873.99,20.15,,6,39,2025-05-26,2025-05-30
Davao Central Branch,Emergency Cash Loan,Regular,Low Risk,Active,437340.72,18.68,68091.59,36,88,2025-05-17,2025-05-20
Davao Central Branch,Emergency Cash Loan,OFW Dependent,Medium Risk,Past Due,466737.96,23.33,113817.69,18,67,2025-02-07,2025-02-11
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,Low Risk,Fully Paid,286915.26,9.57,107013.54,6,41,2025-03-28,2025-04-03
Davao Central Branch,Emergency Cash Loan,Regular,Medium Risk,Active,351358.9,9.38,25769.64,24,18,2025-05-29,2025-05-31
Davao Central Branch,Small Business Micro-Loan,Self-Employed,High Risk,Active,462024.7,12.87,56236.73,18,81,2025-03-06,2025-03-10
